product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,product_description,Brand,status
Bv187,Real Active Juice Mixed Fruit Beetroot  Carrot 1 L Tetra,,110,,,,Beverages,Juices,Juices & Nector,Real Active Juice Mixed Fruit Beetroot  Carrot 1 L Tetra,,,bv187.jpg,,Real,1
Bv188,Real Fruit Mixed Fruit Juice 1 Ltr Tetra,,99,,,,Beverages,Juices,Juices & Nector,Real Fruit Mixed Fruit Juice 1 Ltr Tetra,,,bv188.jpg,,Real,1
Bv189,Real Fruit Mixed Fruit Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real Fruit Mixed Fruit Juice 200 ml Tetra,,,bv189.jpg,,Real,1
Bv190,Robinsons Fruit Shoot Mango 300 ml Bottle,,30,,,,Beverages,Juices,Juices & Nector,Robinsons Fruit Shoot Mango 300 ml Bottle,,,bv190.jpg,,Robinsons,1
Bv191,Slice Mango Drink 1.75 Ltr Bottle,,95,,,,Beverages,Juices,Juices & Nector,Slice Mango Drink 1.75 Ltr Bottle,,,bv191.jpg,,Slice,1
Bv192,Slice Mango Drink 500ml Bottle,,35,,,,Beverages,Juices,Juices & Nector,Slice Mango Drink 500ml Bottle,,,bv192.jpg,,Slice,1
Bv193,"Slice Mobile Pet, Case Pack Of 24 X 500 ml",,840,,,,Beverages,Juices,Juices & Nector,"Slice Mobile Pet, Case Pack Of 24 X 500 ml",,,bv193.jpg,,Slice,1
Bv194,"Slice Pet, 1.2 L",,65,,,,Beverages,Juices,Juices & Nector,"Slice Pet, 1.2 L",,,bv194.jpg,,Slice,1
Bv195,"Slice Pet, Case Pack Of 12 X 1.2 L",,780,,,,Beverages,Juices,Juices & Nector,"Slice Pet, Case Pack Of 12 X 1.2 L",,,bv195.jpg,,Slice,1
Bv196,Tang Lemon 500 g,,105,,,,Beverages,Juices,Juices & Nector,Tang Lemon 500 g,,,bv196.jpg,,Tang,1
Bv197,Tang Mango 500 g,,110,,,,Beverages,Juices,Juices & Nector,Tang Mango 500 g,,,bv197.jpg,,Tang,1
